order_date_full,order_year,order_month,product_category,total_orders,total_customers,state,total_revenue,total_revenue_usd,avg_order_value,avg_order_value_usd,cumulative_revenue_ytd_usd,mom_revenue_change_usd
2017-02-01,2017,02,cine_photo,1,1,MG,95.24,26.67,95.24,26.67,26.67,
2017-02-01,2017,02,computers,1,1,DF,3602.47,1008.69,3602.47,1008.69,1008.69,
2017-02-01,2017,02,computers_accessories,2,2,AC,463.84,129.88,231.92,64.94,129.88,
2017-02-01,2017,02,computers_accessories,2,2,BA,215.97,60.47,107.98,30.24,74.7,46.25
2017-02-01,2017,02,computers_accessories,1,1,DF,3736.22,1046.14,3736.22,1046.14,1046.14,
2017-02-01,2017,02,computers_accessories,3,3,ES,961.08,269.1,320.36,89.7,279.02,259.18
2017-02-01,2017,02,computers_accessories,1,1,GO,348.46,97.57,348.46,97.57,312.74,-117.6
2017-02-01,2017,02,computers_accessories,15,15,MG,1044.54,292.47,69.64,19.5,370.48,214.46
2017-02-01,2017,02,computers_accessories,1,1,MS,65.64,18.38,65.64,18.38,18.38,
2017-02-01,2017,02,computers_accessories,2,2,PA,146.84,41.12,73.42,20.56,41.12,
2017-02-01,2017,02,computers_accessories,2,2,PE,683.14,191.28,341.57,95.64,191.28,
2017-02-01,2017,02,computers_accessories,1,1,PI,41.7,11.68,41.7,11.68,11.68,
2017-02-01,2017,02,computers_accessories,4,4,PR,169.36,47.42,42.34,11.86,94.09,0.76
2017-02-01,2017,02,computers_accessories,13,13,RJ,1816.19,508.53,139.71,39.12,540.41,476.65
2017-02-01,2017,02,computers_accessories,1,1,RN,40.74,11.41,40.74,11.41,11.41,
2017-02-01,2017,02,computers_accessories,2,2,RO,90.99,25.48,45.5,12.74,25.48,
2017-02-01,2017,02,computers_accessories,1,1,RR,55.87,15.64,55.87,15.64,15.64,
2017-02-01,2017,02,computers_accessories,5,5,RS,363.92,101.9,72.78,20.38,680.01,-476.22
2017-02-01,2017,02,computers_accessories,2,2,SE,89.48,25.05,44.74,12.53,25.05,
2017-02-01,2017,02,computers_accessories,39,39,SP,5030.89,1408.65,129.0,36.12,2227.59,589.71
2017-02-01,2017,02,consoles_games,1,1,AM,370.29,103.68,370.29,103.68,103.68,
2017-02-01,2017,02,consoles_games,1,1,CE,720.98,201.87,720.98,201.87,201.87,
2017-02-01,2017,02,consoles_games,1,1,DF,115.9,32.45,115.9,32.45,32.45,
2017-02-01,2017,02,consoles_games,5,5,MG,1523.25,426.51,304.65,85.3,623.71,229.31
2017-02-01,2017,02,consoles_games,1,1,RJ,332.7,93.16,332.7,93.16,128.11,58.2
2017-02-01,2017,02,consoles_games,2,2,RS,590.54,165.35,295.27,82.68,165.35,
2017-02-01,2017,02,consoles_games,2,2,SC,132.11,36.99,66.06,18.5,104.09,-30.11
2017-02-01,2017,02,consoles_games,1,1,SE,70.84,19.84,70.84,19.84,19.84,
2017-02-01,2017,02,consoles_games,4,4,SP,781.35,218.78,195.34,54.69,1151.81,-714.25
2017-02-01,2017,02,construction_tools_construction,1,1,MG,171.03,47.89,171.03,47.89,141.69,-45.91
2017-02-01,2017,02,construction_tools_construction,1,1,PR,171.03,47.89,171.03,47.89,47.89,
2017-02-01,2017,02,construction_tools_construction,1,1,RJ,56.96,15.95,56.96,15.95,15.95,
2017-02-01,2017,02,construction_tools_safety,1,1,RS,396.86,111.12,396.86,111.12,111.12,
2017-02-01,2017,02,cool_stuff,1,1,AL,142.33,39.85,142.33,39.85,39.85,
2017-02-01,2017,02,cool_stuff,3,3,BA,229.23,64.18,76.41,21.39,64.18,
2017-02-01,2017,02,cool_stuff,1,1,CE,106.81,29.91,106.81,29.91,97.94,-38.13
2017-02-01,2017,02,cool_stuff,3,3,DF,310.54,86.95,103.51,28.98,352.38,-178.47
2017-02-01,2017,02,cool_stuff,3,3,GO,1091.74,305.69,363.91,101.9,431.03,180.35
2017-02-01,2017,02,cool_stuff,1,1,MA,106.81,29.91,106.81,29.91,29.91,
2017-02-01,2017,02,cool_stuff,5,5,MG,856.62,239.85,171.32,47.97,622.28,-142.57
2017-02-01,2017,02,cool_stuff,2,2,MT,404.88,113.37,202.44,56.68,246.74,-20.01
2017-02-01,2017,02,cool_stuff,1,1,PA,104.87,29.36,104.87,29.36,620.9,-562.17
2017-02-01,2017,02,cool_stuff,1,1,PB,307.86,86.2,307.86,86.2,86.2,
2017-02-01,2017,02,cool_stuff,2,2,PE,746.97,209.15,373.49,104.58,261.37,156.93
2017-02-01,2017,02,cool_stuff,7,7,PR,3103.72,869.04,443.39,124.15,1343.09,394.99
2017-02-01,2017,02,cool_stuff,8,8,RJ,1017.0,284.76,127.13,35.6,442.93,126.59
2017-02-01,2017,02,cool_stuff,5,5,RS,958.23,268.3,191.65,53.66,306.85,229.76
